Ref,Val,Package,PosX,PosY,Rot,Side
"C1","27pF","C_0402_1005Metric",378.600000,-89.000000,0.000000,bottom
"C2","27pF","C_0402_1005Metric",375.700000,-86.500000,-90.000000,bottom
"C3","0.1uF","C_0402_1005Metric",382.300000,-66.800000,0.000000,bottom
"C4","0.1uF","C_0402_1005Metric",379.900000,-68.700000,90.000000,bottom
"C5","0.1uF","C_0402_1005Metric",375.800000,-82.200000,-90.000000,bottom
"C6","1uF","C_0402_1005Metric",375.900000,-71.200000,180.000000,bottom
"C7","10uF-OPT","C_0603_1608Metric",369.800000,-70.500000,180.000000,bottom
"C8","0.1uF","C_0402_1005Metric",377.700000,-69.100000,90.000000,bottom
"C9","0.1uF","C_0402_1005Metric",372.300000,-77.600000,180.000000,bottom
"C10","0.1uF","C_0402_1005Metric",373.000000,-72.800000,180.000000,bottom
"C11","0.1uF","C_0402_1005Metric",384.600000,-77.600000,0.000000,bottom
"C12","0.1uF","C_0402_1005Metric",372.500000,-70.800000,90.000000,bottom
"C13","0.1uF","C_0402_1005Metric",377.900000,-82.200000,-90.000000,bottom
"C14","0.1uF","C_0402_1005Metric",383.500000,-72.800000,90.000000,bottom
"C15","1uF","C_0402_1005Metric",374.100000,-70.800000,90.000000,bottom
"C16","1uF","C_0402_1005Metric",369.500000,-55.700000,90.000000,bottom
"C17","1uF","C_0402_1005Metric",374.600000,-55.700000,-90.000000,bottom
"D1","1N4148W","D_SOD-123-MinimalPrint",55.562500,-49.212500,90.000000,bottom
"D2","1N4148W","D_SOD-123-MinimalPrint",55.562500,-68.262500,90.000000,bottom
"D3","1N4148W","D_SOD-123-MinimalPrint",55.562500,-87.312500,90.000000,bottom
"D4","1N4148W","D_SOD-123-MinimalPrint",55.562500,-106.362500,90.000000,bottom
"D5","1N4148W","D_SOD-123-MinimalPrint",55.562500,-125.412500,90.000000,bottom
"D6","1N4148W","D_SOD-123-MinimalPrint",55.562500,-144.462500,90.000000,bottom
"D7","1N4148W","D_SOD-123-MinimalPrint",58.737500,-49.212500,90.000000,bottom
"D8","1N4148W","D_SOD-123-MinimalPrint",58.737500,-68.262500,90.000000,bottom
"D9","1N4148W","D_SOD-123-MinimalPrint",58.737500,-87.312500,90.000000,bottom
"D10","1N4148W","D_SOD-123-MinimalPrint",58.737500,-106.362500,90.000000,bottom
"D11","1N4148W","D_SOD-123-MinimalPrint",58.737500,-125.412500,90.000000,bottom
"D12","1N4148W","D_SOD-123-MinimalPrint",58.737500,-144.462500,90.000000,bottom
"D13","1N4148W","D_SOD-123-MinimalPrint",98.425000,-49.212500,90.000000,bottom
"D14","1N4148W","D_SOD-123-MinimalPrint",98.425000,-68.262500,90.000000,bottom
"D15","1N4148W","D_SOD-123-MinimalPrint",98.425000,-87.312500,90.000000,bottom
"D16","1N4148W","D_SOD-123-MinimalPrint",98.425000,-106.362500,90.000000,bottom
"D17","1N4148W","D_SOD-123-MinimalPrint",98.425000,-125.412500,90.000000,bottom
"D18","1N4148W","D_SOD-123-MinimalPrint",98.425000,-144.462500,90.000000,bottom
"D19","1N4148W","D_SOD-123-MinimalPrint",101.600000,-49.212500,90.000000,bottom
"D20","1N4148W","D_SOD-123-MinimalPrint",101.600000,-68.262500,90.000000,bottom
"D21","1N4148W","D_SOD-123-MinimalPrint",101.600000,-87.312500,90.000000,bottom
"D22","1N4148W","D_SOD-123-MinimalPrint",101.600000,-106.362500,90.000000,bottom
"D23","1N4148W","D_SOD-123-MinimalPrint",101.600000,-125.412500,90.000000,bottom
"D24","1N4148W","D_SOD-123-MinimalPrint",101.600000,-144.462500,90.000000,bottom
"D25","1N4148W","D_SOD-123-MinimalPrint",141.287500,-49.212500,90.000000,bottom
"D26","1N4148W","D_SOD-123-MinimalPrint",141.287500,-68.262500,90.000000,bottom
"D27","1N4148W","D_SOD-123-MinimalPrint",141.287500,-87.312500,90.000000,bottom
"D28","1N4148W","D_SOD-123-MinimalPrint",141.287500,-106.362500,90.000000,bottom
"D29","1N4148W","D_SOD-123-MinimalPrint",141.287500,-125.412500,90.000000,bottom
"D30","1N4148W","D_SOD-123-MinimalPrint",141.287500,-144.462500,90.000000,bottom
"D31","1N4148W","D_SOD-123-MinimalPrint",144.462500,-49.212500,90.000000,bottom
"D32","1N4148W","D_SOD-123-MinimalPrint",144.462500,-68.262500,90.000000,bottom
"D33","1N4148W","D_SOD-123-MinimalPrint",144.462500,-87.312500,90.000000,bottom
"D34","1N4148W","D_SOD-123-MinimalPrint",144.462500,-106.362500,90.000000,bottom
"D35","1N4148W","D_SOD-123-MinimalPrint",144.462500,-125.412500,90.000000,bottom
"D36","1N4148W","D_SOD-123-MinimalPrint",144.462500,-144.462500,90.000000,bottom
"D37","1N4148W","D_SOD-123-MinimalPrint",184.150000,-49.212500,90.000000,bottom
"D38","1N4148W","D_SOD-123-MinimalPrint",184.150000,-68.262500,90.000000,bottom
"D39","1N4148W","D_SOD-123-MinimalPrint",184.150000,-87.312500,90.000000,bottom
"D40","1N4148W","D_SOD-123-MinimalPrint",184.150000,-106.362500,90.000000,bottom
"D41","1N4148W","D_SOD-123-MinimalPrint",184.150000,-125.412500,90.000000,bottom
"D42","1N4148W","D_SOD-123-MinimalPrint",184.150000,-144.462500,90.000000,bottom
"D43","1N4148W","D_SOD-123-MinimalPrint",187.325000,-49.212500,90.000000,bottom
"D44","1N4148W","D_SOD-123-MinimalPrint",187.325000,-68.262500,90.000000,bottom
"D45","1N4148W","D_SOD-123-MinimalPrint",187.325000,-87.312500,90.000000,bottom
"D46","1N4148W","D_SOD-123-MinimalPrint",187.325000,-106.362500,90.000000,bottom
"D47","1N4148W","D_SOD-123-MinimalPrint",187.325000,-125.412500,90.000000,bottom
"D48","1N4148W","D_SOD-123-MinimalPrint",187.325000,-144.462500,90.000000,bottom
"D49","1N4148W","D_SOD-123-MinimalPrint",227.012500,-49.212500,90.000000,bottom
"D50","1N4148W","D_SOD-123-MinimalPrint",227.012500,-68.262500,90.000000,bottom
"D51","1N4148W","D_SOD-123-MinimalPrint",227.012500,-87.312500,90.000000,bottom
"D52","1N4148W","D_SOD-123-MinimalPrint",227.012500,-106.362500,90.000000,bottom
"D53","1N4148W","D_SOD-123-MinimalPrint",227.012500,-125.412500,90.000000,bottom
"D54","1N4148W","D_SOD-123-MinimalPrint",227.012500,-144.462500,90.000000,bottom
"D55","1N4148W","D_SOD-123-MinimalPrint",230.187500,-49.212500,90.000000,bottom
"D56","1N4148W","D_SOD-123-MinimalPrint",230.187500,-68.262500,90.000000,bottom
"D57","1N4148W","D_SOD-123-MinimalPrint",230.187500,-87.312500,90.000000,bottom
"D58","1N4148W","D_SOD-123-MinimalPrint",230.187500,-106.362500,90.000000,bottom
"D59","1N4148W","D_SOD-123-MinimalPrint",230.187500,-125.412500,90.000000,bottom
"D60","1N4148W","D_SOD-123-MinimalPrint",230.187500,-144.462500,90.000000,bottom
"D61","1N4148W","D_SOD-123-MinimalPrint",269.875000,-49.212500,90.000000,bottom
"D62","1N4148W","D_SOD-123-MinimalPrint",269.875000,-68.262500,90.000000,bottom
"D63","1N4148W","D_SOD-123-MinimalPrint",269.875000,-87.312500,90.000000,bottom
"D64","1N4148W","D_SOD-123-MinimalPrint",269.875000,-106.362500,90.000000,bottom
"D65","1N4148W","D_SOD-123-MinimalPrint",269.875000,-125.412500,90.000000,bottom
"D66","1N4148W","D_SOD-123-MinimalPrint",269.875000,-144.462500,90.000000,bottom
"D67","1N4148W","D_SOD-123-MinimalPrint",273.050000,-49.212500,90.000000,bottom
"D68","1N4148W","D_SOD-123-MinimalPrint",273.050000,-68.262500,90.000000,bottom
"D69","1N4148W","D_SOD-123-MinimalPrint",273.050000,-87.312500,90.000000,bottom
"D70","1N4148W","D_SOD-123-MinimalPrint",273.050000,-106.362500,90.000000,bottom
"D71","1N4148W","D_SOD-123-MinimalPrint",273.050000,-125.412500,90.000000,bottom
"D72","1N4148W","D_SOD-123-MinimalPrint",273.050000,-144.462500,90.000000,bottom
"D73","1N4148W","D_SOD-123-MinimalPrint",312.737500,-49.212500,90.000000,bottom
"D74","1N4148W","D_SOD-123-MinimalPrint",312.737500,-68.262500,90.000000,bottom
"D75","1N4148W","D_SOD-123-MinimalPrint",312.737500,-87.312500,90.000000,bottom
"D76","1N4148W","D_SOD-123-MinimalPrint",312.737500,-106.362500,90.000000,bottom
"D77","1N4148W","D_SOD-123-MinimalPrint",312.737500,-125.412500,90.000000,bottom
"D78","1N4148W","D_SOD-123-MinimalPrint",312.737500,-144.462500,90.000000,bottom
"D79","1N4148W","D_SOD-123-MinimalPrint",315.912500,-49.212500,90.000000,bottom
"D80","1N4148W","D_SOD-123-MinimalPrint",315.912500,-68.262500,90.000000,bottom
"D81","1N4148W","D_SOD-123-MinimalPrint",315.912500,-87.312500,90.000000,bottom
"D82","1N4148W","D_SOD-123-MinimalPrint",315.912500,-106.362500,90.000000,bottom
"D83","1N4148W","D_SOD-123-MinimalPrint",315.912500,-125.412500,90.000000,bottom
"D84","1N4148W","D_SOD-123-MinimalPrint",315.912500,-144.462500,90.000000,bottom
"D85","1N4148W","D_SOD-123-MinimalPrint",355.600000,-49.212500,90.000000,bottom
"D86","1N4148W","D_SOD-123-MinimalPrint",355.600000,-68.262500,90.000000,bottom
"D87","1N4148W","D_SOD-123-MinimalPrint",355.600000,-87.312500,90.000000,bottom
"D88","1N4148W","D_SOD-123-MinimalPrint",355.600000,-106.362500,90.000000,bottom
"D89","1N4148W","D_SOD-123-MinimalPrint",355.600000,-125.412500,90.000000,bottom
"D90","1N4148W","D_SOD-123-MinimalPrint",355.600000,-144.462500,90.000000,bottom
"D91","1N4148W","D_SOD-123-MinimalPrint",358.775000,-49.212500,90.000000,bottom
"D92","1N4148W","D_SOD-123-MinimalPrint",358.775000,-68.262500,90.000000,bottom
"D93","1N4148W","D_SOD-123-MinimalPrint",358.775000,-87.312500,90.000000,bottom
"D94","1N4148W","D_SOD-123-MinimalPrint",358.775000,-106.362500,90.000000,bottom
"D95","1N4148W","D_SOD-123-MinimalPrint",358.775000,-125.412500,90.000000,bottom
"D96","1N4148W","D_SOD-123-MinimalPrint",358.775000,-144.462500,90.000000,bottom
"D97","1N4148W","D_SOD-123-MinimalPrint",398.462500,-49.212500,90.000000,bottom
"D98","1N4148W","D_SOD-123-MinimalPrint",398.462500,-68.262500,90.000000,bottom
"D99","1N4148W","D_SOD-123-MinimalPrint",401.637500,-92.868750,90.000000,bottom
"D100","1N4148W","D_SOD-123-MinimalPrint",398.462500,-106.362500,90.000000,bottom
"D101","1N4148W","D_SOD-123-MinimalPrint",398.462500,-125.412500,90.000000,bottom
"D102","1N4148W","D_SOD-123-MinimalPrint",398.462500,-144.462500,90.000000,bottom
"D103","1N4148W","D_SOD-123-MinimalPrint",401.637500,-49.212500,90.000000,bottom
"D104","1N4148W","D_SOD-123-MinimalPrint",401.637500,-68.262500,90.000000,bottom
"D105","1N4148W","D_SOD-123-MinimalPrint",401.637500,-87.312500,90.000000,bottom
"D106","1N4148W","D_SOD-123-MinimalPrint",401.637500,-106.362500,90.000000,bottom
"D107","1N4148W","D_SOD-123-MinimalPrint",401.637500,-125.412500,90.000000,bottom
"D108","1N4148W","D_SOD-123-MinimalPrint",401.637500,-144.462500,90.000000,bottom
"D109","RB060M-60TR","D_SOD-123",372.000000,-51.700000,0.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",375.500000,-46.400000,90.000000,bottom
"R1","1k","R_0402_1005Metric",386.400000,-70.400000,180.000000,bottom
"R2","10k-OPT","R_0402_1005Metric",386.400000,-69.100000,180.000000,bottom
"R3","1k","R_0402_1005Metric",377.900000,-84.000000,0.000000,bottom
"R4","1k","R_0402_1005Metric",399.712500,-55.600000,90.000000,bottom
"R5","27.4","R_0402_1005Metric",376.300000,-68.000000,90.000000,bottom
"R6","27.4","R_0402_1005Metric",375.000000,-68.000000,-90.000000,bottom
"R7","100k","R_0603_1608Metric",368.500000,-52.900000,90.000000,bottom
"R8","100k","R_0603_1608Metric",375.500000,-52.900000,-90.000000,bottom
"R9","5k1","R_0603_1608Metric",384.300000,-52.000000,180.000000,bottom
"R10","5k1","R_0603_1608Metric",384.300000,-50.100000,180.000000,bottom
"SW1","SW_Push","SW_SPST_TL3342",404.812500,-74.612500,0.000000,bottom
"SW2","SW_Push","SW_SPST_TL3342",404.812500,-55.600000,180.000000,bottom
"U1","ZD25Q80BNIGR","USON-8-1.5mm",382.700000,-68.600000,-90.000000,bottom
"U2","PRTR5V0U2X","SOT143B",378.600000,-45.600000,180.000000,bottom
"U3","RP2040","RP2040-QFN-56",378.500000,-76.200000,180.000000,bottom
"U4","AP7313-33SRG-7","SOT-23",372.000000,-55.200000,-90.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",378.618750,-32.350000,0.000000,bottom
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",378.600000,-86.500000,180.000000,bottom
