Ref,Val,Package,PosX,PosY,Rot,Side
K1,CPG151101S11-16,MX-Hotswap-1U,47.625,-47.625,0,bottom
K2,CPG151101S11-16,MX-Hotswap-1U,47.625,-66.675,0,bottom
K3,CPG151101S11-16,MX-Hotswap-1U,47.625,-85.725,0,bottom
K4,CPG151101S11-16,MX-Hotswap-1U,47.625,-104.775,0,bottom
K5,CPG151101S11-16,MX-Hotswap-1U,47.625,-123.825,0,bottom
K6,CPG151101S11-16,MX-Hotswap-1U,47.625,-142.875,0,bottom
K7,CPG151101S11-16,MX-Hotswap-1U,66.675,-47.625,0,bottom
K8,CPG151101S11-16,MX-Hotswap-1U,66.675,-66.675,0,bottom
K9,CPG151101S11-16,MX-Hotswap-1U,66.675,-85.725,0,bottom
K10,CPG151101S11-16,MX-Hotswap-1U,66.675,-104.775,0,bottom
K11,CPG151101S11-16,MX-Hotswap-1U,66.675,-123.825,0,bottom
K12,CPG151101S11-16,MX-Hotswap-1U,66.675,-142.875,0,bottom
K13,CPG151101S11-16,MX-Hotswap-1U,90.4875,-47.625,0,bottom
K14,CPG151101S11-16,MX-Hotswap-1U,90.4875,-66.675,0,bottom
K15,CPG151101S11-16,MX-Hotswap-1U,90.4875,-85.725,0,bottom
K16,CPG151101S11-16,MX-Hotswap-1U,90.4875,-104.775,0,bottom
K17,CPG151101S11-16,MX-Hotswap-1U,90.4875,-123.825,0,bottom
K18,CPG151101S11-16,MX-Hotswap-1U,90.4875,-142.875,0,bottom
K19,CPG151101S11-16,MX-Hotswap-1U,109.5375,-47.625,0,bottom
K20,CPG151101S11-16,MX-Hotswap-1U,109.5375,-66.675,0,bottom
K21,CPG151101S11-16,MX-Hotswap-1U,109.5375,-85.725,0,bottom
K22,CPG151101S11-16,MX-Hotswap-1U,109.5375,-104.775,0,bottom
K23,CPG151101S11-16,MX-Hotswap-1U,109.5375,-123.825,0,bottom
K24,CPG151101S11-16,MX-Hotswap-1U,109.5375,-142.875,0,bottom
K25,CPG151101S11-16,MX-Hotswap-1U,133.35,-47.625,0,bottom
K26,CPG151101S11-16,MX-Hotswap-1U,133.35,-66.675,0,bottom
K27,CPG151101S11-16,MX-Hotswap-1U,133.35,-85.725,0,bottom
K28,CPG151101S11-16,MX-Hotswap-1U,133.35,-104.775,0,bottom
K29,CPG151101S11-16,MX-Hotswap-1U,133.35,-123.825,0,bottom
K30,CPG151101S11-16,MX-Hotswap-1U,133.35,-142.875,0,bottom
K31,CPG151101S11-16,MX-Hotswap-1U,152.4,-47.625,0,bottom
K32,CPG151101S11-16,MX-Hotswap-1U,152.4,-66.675,0,bottom
K33,CPG151101S11-16,MX-Hotswap-1U,152.4,-85.725,0,bottom
K34,CPG151101S11-16,MX-Hotswap-1U,152.4,-104.775,0,bottom
K35,CPG151101S11-16,MX-Hotswap-1U,152.4,-123.825,0,bottom
K36,CPG151101S11-16,MX-Hotswap-1U,152.4,-142.875,0,bottom
K37,CPG151101S11-16,MX-Hotswap-1U,176.2125,-47.625,0,bottom
K38,CPG151101S11-16,MX-Hotswap-1U,176.2125,-66.675,0,bottom
K39,CPG151101S11-16,MX-Hotswap-1U,176.2125,-85.725,0,bottom
